trial,true_choice,predicted_choice,hit,nonhit,rating,origin_true_choice_probability,origin_posterior,origin_pred_probs,origin_entropy,origin_top1_hypothesis,origin_top1_probability,origin_top3_mass
12,1,4,0,1,1,0.2094727759596386,"{""0"": 0.0061721038936445064, ""28"": 0.038034406342329054, ""34"": 0.044415544532209014, ""71"": 0.02802079696613321, ""80"": 0.01239010106466299, ""90"": 0.08141957719969437, ""106"": 0.7298187426054643, ""110"": 0.01429573572955256, ""114"": 0.045432991666309964}","[0.2094727759596386, 0.18193309897961066, 0.1067393285849701, 0.5018547964757807]",1.0838928309311266,106,0.7298187426054643,0.8566713114714687
13,1,3,0,1,2,0.35230855494827695,"{""6"": 0.013260720411829331, ""28"": 0.0498424495230243, ""34"": 0.038760240631078864, ""75"": 0.01166133136360502, ""80"": 0.01607877870120698, ""90"": 0.10806707255977664, ""106"": 0.6910549682095145, ""110"": 0.022647864991811255, ""114"": 0.04862657360815302}","[0.35230855494827695, 0.0690037032574726, 0.3925944459755154, 0.18609329581873504]",1.179730581773703,106,0.6910549682095145,0.8489644902923155
14,3,3,1,0,2,0.7598949542986932,"{""28"": 0.054905306680812616, ""34"": 0.03307490749574658, ""61"": 0.012933766449244502, ""75"": 0.017068041878546224, ""85"": 0.017162645453262973, ""90"": 0.06874885121002872, ""106"": 0.7705764812061102, ""114"": 0.025529999626248173}","[0.06384950682883617, 0.058958507760409534, 0.7598949542986932, 0.11729703111206101]",0.9460998897315647,106,0.7705764812061102,0.8942306390969516
15,3,3,1,0,2,0.9035781039984353,"{""28"": 0.01843200305378098, ""46"": 0.0024413093998904237, ""47"": 0.001999803083169424, ""61"": 0.020397065632814373, ""71"": 4.599982900435168e-09, ""75"": 4.36511504928199e-09, ""85"": 4.386038204654827e-09, ""90"": 0.02350826449485213, ""106"": 0.9332215409843565}","[0.015241256813212796, 0.02619426711011675, 0.9035781039984353, 0.054986372078235195]",0.3327804396860979,106,0.9332215409843565,0.977126871112023
16,3,3,1,0,3,0.853220180958034,"{""28"": 0.005755209259996789, ""46"": 0.00037936817040455016, ""47"": 0.00021579695650037327, ""61"": 0.024082779740739947, ""71"": 7.546802088603538e-08, ""75"": 2.3530072482350137e-08, ""83"": 0.0003014747958307765, ""90"": 0.009144204616657247, ""106"": 0.960121067461777}","[0.01734639755092048, 0.1041509771280737, 0.853220180958034, 0.025282444362971924]",0.20867921297825723,106,0.960121067461777,0.9933480518191741
17,1,1,1,0,2,0.9624144599630403,"{""28"": 0.004034205721251173, ""46"": 0.00010173178462576407, ""47"": 4.226452459059285e-05, ""61"": 0.03951572139622152, ""68"": 0.0006981354200186659, ""73"": 0.0003614995594885132, ""83"": 6.083758873249037e-05, ""90"": 0.00411572556850584, ""106"": 0.9510698784365653}","[0.9624144599630403, 0.01828629461190028, 0.013576825661397276, 0.005722419763662181]",0.23012822266070804,106,0.9510698784365653,0.9947013254012926
18,1,1,1,0,2,0.6693621743891399,"{""28"": 0.00789650629157884, ""46"": 0.0003272293319099699, ""48"": 0.002549046693808008, ""61"": 0.05859471159401348, ""68"": 0.0018135083337720132, ""73"": 0.0009644007341365465, ""75"": 0.001884600956886499, ""90"": 0.0072234402707020565, ""106"": 0.9187465557931924}","[0.6693621743891399, 0.1701481056057321, 0.10292467847596846, 0.05756504152915954]",0.36576068461154104,106,0.9187465557931924,0.9852377736787847
19,2,3,0,1,1,0.14288460284871204,"{""13"": 0.0020729379922644012, ""28"": 0.013547904241451119, ""48"": 0.0058293027904226845, ""55"": 0.006270582768814672, ""61"": 0.07782021850483928, ""68"": 0.004360646733386241, ""75"": 0.004354968246013635, ""90"": 0.011566604341584566, ""106"": 0.8741768343812234}","[0.02894311544912088, 0.14288460284871204, 0.7927560538577195, 0.035416227844447506]",0.5480939139714787,106,0.8741768343812234,0.9655449571275138
20,2,2,1,0,3,0.5221222391158239,"{""28"": 0.01535530282113236, ""55"": 0.011815953527536968, ""61"": 0.0994442179882255, ""68"": 0.005695449007564288, ""71"": 0.009875398706206195, ""75"": 0.007162432585574541, ""90"": 0.017070567084983685, ""106"": 0.8219515649717439, ""110"": 0.011629113307032559}","[0.3998891781018113, 0.5221222391158239, 0.0625895386519198, 0.015399044130445183]",0.7389610535655897,106,0.8219515649717439,0.9384663500449532
21,1,1,1,0,2,0.8049892944093848,"{""28"": 0.007586322804985468, ""30"": 0.0041813341934426335, ""55"": 0.0037609312246181525, ""61"": 0.026193737076803923, ""75"": 0.0023402559019785247, ""90"": 0.014589393776423551, ""106"": 0.9381268675506487, ""110"": 0.0032211574710991476}","[0.8049892944093848, 0.06990415996621716, 0.1175235242874529, 0.007583021336945018]",0.33058845134097004,106,0.9381268675506487,0.9789099984038762
