subID,condition,level,iTrial,orien,standard_real,compare_real,diff_real,standard_norm,compare_norm,diff_norm,truth,choice,feedback,cho_RT,threshold_mean,threshold_sd
317,4,1,27,-1,0.250,0.256,0.006,0.000,0.006,0.006,2,2,1,0.709,0.007,0.029
317,4,1,28,1,0.250,0.254,0.004,0.000,0.004,0.004,2,2,1,1.611,0.005,0.029
317,4,1,29,1,0.250,0.253,0.003,0.000,0.003,0.003,1,1,1,0.480,0.004,0.029
317,4,1,30,1,0.250,0.251,0.001,0.000,0.001,0.001,2,1,0,3.831,0.007,0.029
317,3,3,1,-1,0.750,0.722,-0.028,0.500,0.472,-0.028,2,2,1,1.164,0.029,0.030
317,3,3,2,-1,0.750,0.724,-0.026,0.500,0.474,-0.026,2,2,1,0.690,0.027,0.030
317,3,3,3,1,0.750,0.775,0.025,0.500,0.525,0.025,2,2,1,2.704,0.026,0.030
317,3,3,4,-1,0.750,0.726,-0.024,0.500,0.476,-0.024,2,1,0,0.690,0.029,0.030
317,3,3,5,1,0.750,0.723,-0.027,0.500,0.473,-0.027,2,2,1,0.338,0.028,0.030
317,3,3,6,1,0.750,0.725,-0.025,0.500,0.475,-0.025,2,1,0,0.619,0.031,0.029
317,3,3,7,-1,0.750,0.721,-0.029,0.500,0.471,-0.029,1,1,1,1.214,0.030,0.029
317,3,3,8,-1,0.750,0.723,-0.027,0.500,0.473,-0.027,2,2,1,0.313,0.028,0.029
317,3,3,9,-1,0.750,0.724,-0.026,0.500,0.474,-0.026,1,1,1,1.037,0.027,0.030
317,3,3,10,1,0.750,0.775,0.025,0.500,0.525,0.025,2,2,1,0.597,0.025,0.030
317,3,3,11,-1,0.750,0.773,0.023,0.500,0.523,0.023,2,2,1,0.860,0.024,0.030
317,3,3,12,1,0.750,0.772,0.022,0.500,0.522,0.022,1,1,1,2.197,0.023,0.030
317,3,3,13,1,0.750,0.770,0.020,0.500,0.520,0.020,2,1,0,0.616,0.026,0.029
317,3,3,14,-1,0.750,0.726,-0.024,0.500,0.476,-0.024,2,2,1,0.537,0.025,0.029
317,3,3,15,1,0.750,0.772,0.022,0.500,0.522,0.022,1,1,1,0.453,0.023,0.029
317,3,3,16,1,0.750,0.729,-0.021,0.500,0.479,-0.021,1,1,1,0.657,0.022,0.029
317,3,3,17,1,0.750,0.731,-0.019,0.500,0.481,-0.019,1,1,1,1.582,0.021,0.029
317,3,3,18,-1,0.750,0.768,0.018,0.500,0.518,0.018,2,1,0,0.474,0.024,0.029
317,3,3,19,1,0.750,0.771,0.021,0.500,0.521,0.021,1,2,0,0.679,0.027,0.029
317,3,3,20,1,0.750,0.774,0.024,0.500,0.524,0.024,2,2,1,0.996,0.025,0.029
317,3,3,21,-1,0.750,0.727,-0.023,0.500,0.477,-0.023,2,2,1,0.653,0.024,0.029
317,3,3,22,-1,0.750,0.728,-0.022,0.500,0.478,-0.022,2,2,1,1.336,0.023,0.029
317,3,3,23,-1,0.750,0.770,0.020,0.500,0.520,0.020,1,1,1,1.501,0.022,0.029
317,3,3,24,1,0.750,0.731,-0.019,0.500,0.481,-0.019,2,2,1,0.323,0.020,0.029
317,3,3,25,-1,0.750,0.768,0.018,0.500,0.518,0.018,1,1,1,1.571,0.019,0.029
317,3,3,26,1,0.750,0.734,-0.016,0.500,0.484,-0.016,2,2,1,0.328,0.018,0.029
317,3,3,27,-1,0.750,0.765,0.015,0.500,0.515,0.015,1,1,1,0.727,0.016,0.029
317,3,3,28,-1,0.750,0.736,-0.014,0.500,0.486,-0.014,1,1,1,0.543,0.015,0.029
317,3,3,29,-1,0.750,0.737,-0.013,0.500,0.487,-0.013,1,1,1,1.170,0.014,0.029
317,3,3,30,-1,0.750,0.739,-0.011,0.500,0.489,-0.011,2,2,1,0.606,0.012,0.029
317,3,1,1,1,0.250,0.278,0.028,0.000,0.028,0.028,1,2,0,3.476,0.033,0.030
317,3,1,2,1,0.250,0.281,0.031,0.000,0.031,0.031,2,2,1,0.472,0.032,0.030
317,3,1,3,1,0.250,0.280,0.030,0.000,0.030,0.030,2,2,1,0.406,0.031,0.030
317,3,1,4,-1,0.250,0.278,0.028,0.000,0.028,0.028,2,2,1,0.455,0.029,0.030
317,3,1,5,1,0.250,0.277,0.027,0.000,0.027,0.027,1,2,0,1.870,0.032,0.029
317,3,1,6,1,0.250,0.280,0.030,0.000,0.030,0.030,1,1,1,0.583,0.031,0.029
317,3,1,7,1,0.250,0.279,0.029,0.000,0.029,0.029,1,1,1,0.332,0.030,0.029
317,3,1,8,-1,0.250,0.277,0.027,0.000,0.027,0.027,2,2,1,0.257,0.028,0.029
317,3,1,9,1,0.250,0.276,0.026,0.000,0.026,0.026,2,2,1,0.300,0.027,0.029
317,3,1,10,-1,0.250,0.275,0.025,0.000,0.025,0.025,2,2,1,0.352,0.026,0.030
317,3,1,11,-1,0.250,0.273,0.023,0.000,0.023,0.023,1,1,1,0.808,0.024,0.030
317,3,1,12,-1,0.250,0.272,0.022,0.000,0.022,0.022,1,1,1,0.940,0.023,0.030
317,3,1,13,1,0.250,0.271,0.021,0.000,0.021,0.021,1,1,1,0.278,0.022,0.030
317,3,1,14,-1,0.250,0.269,0.019,0.000,0.019,0.019,1,1,1,0.403,0.020,0.030
317,3,1,15,1,0.250,0.268,0.018,0.000,0.018,0.018,1,1,1,0.406,0.019,0.030
317,3,1,16,-1,0.250,0.267,0.017,0.000,0.017,0.017,2,2,1,0.587,0.017,0.030
317,3,1,17,1,0.250,0.265,0.015,0.000,0.015,0.015,1,1,1,0.514,0.016,0.030
317,3,1,18,-1,0.250,0.264,0.014,0.000,0.014,0.014,1,1,1,0.388,0.015,0.030
317,3,1,19,1,0.250,0.262,0.012,0.000,0.012,0.012,1,1,1,0.619,0.013,0.030
317,3,1,20,1,0.250,0.261,0.011,0.000,0.011,0.011,1,1,1,1.507,0.012,0.030
317,3,1,21,-1,0.250,0.260,0.010,0.000,0.010,0.010,1,1,1,1.083,0.011,0.029
317,3,1,22,1,0.250,0.258,0.008,0.000,0.008,0.008,1,1,1,0.672,0.009,0.029
317,3,1,23,-1,0.250,0.257,0.007,0.000,0.007,0.007,1,2,0,0.734,0.013,0.029
317,3,1,24,-1,0.250,0.260,0.010,0.000,0.010,0.010,1,1,1,2.178,0.011,0.029
317,3,1,25,1,0.250,0.259,0.009,0.000,0.009,0.009,2,2,1,0.698,0.010,0.029
317,3,1,26,1,0.250,0.257,0.007,0.000,0.007,0.007,1,1,1,0.655,0.008,0.029
317,3,1,27,1,0.250,0.256,0.006,0.000,0.006,0.006,2,1,0,0.858,0.012,0.029
317,3,1,28,-1,0.250,0.259,0.009,0.000,0.009,0.009,1,1,1,1.452,0.010,0.029
317,3,1,29,1,0.250,0.258,0.008,0.000,0.008,0.008,1,1,1,1.017,0.009,0.029
317,3,1,30,1,0.250,0.257,0.007,0.000,0.007,0.007,2,1,0,1.051,0.012,0.029
317,3,5,1,1,1.250,1.222,-0.028,1.000,0.972,-0.028,2,2,1,0.612,0.029,0.030
317,3,5,2,-1,1.250,1.224,-0.026,1.000,0.974,-0.026,1,1,1,1.995,0.027,0.030
317,3,5,3,1,1.250,1.225,-0.025,1.000,0.975,-0.025,2,2,1,0.313,0.026,0.030
317,3,5,4,1,1.250,1.226,-0.024,1.000,0.976,-0.024,1,1,1,1.157,0.024,0.030
317,3,5,5,1,1.250,1.228,-0.022,1.000,0.978,-0.022,2,2,1,0.363,0.023,0.030
317,3,5,6,1,1.250,1.229,-0.021,1.000,0.979,-0.021,2,2,1,0.277,0.022,0.030
317,3,5,7,-1,1.250,1.231,-0.019,1.000,0.981,-0.019,1,1,1,0.219,0.020,0.030
317,3,5,8,1,1.250,1.232,-0.018,1.000,0.982,-0.018,1,1,1,1.111,0.019,0.030
317,3,5,9,-1,1.250,1.234,-0.016,1.000,0.984,-0.016,1,1,1,0.733,0.017,0.030
317,3,5,10,-1,1.250,1.235,-0.015,1.000,0.985,-0.015,1,1,1,0.889,0.016,0.030
317,3,5,11,1,1.250,1.236,-0.014,1.000,0.986,-0.014,2,2,1,0.438,0.014,0.030
317,3,5,12,-1,1.250,1.238,-0.012,1.000,0.988,-0.012,1,1,1,0.628,0.013,0.030
317,3,5,13,-1,1.250,1.239,-0.011,1.000,0.989,-0.011,2,2,1,0.336,0.012,0.030
317,3,5,14,1,1.250,1.241,-0.009,1.000,0.991,-0.009,2,2,1,0.467,0.010,0.030
317,3,5,15,-1,1.250,1.242,-0.008,1.000,0.992,-0.008,1,1,1,0.285,0.009,0.030
317,3,5,16,-1,1.250,1.243,-0.007,1.000,0.993,-0.007,1,1,1,0.536,0.007,0.030
317,3,5,17,1,1.250,1.245,-0.005,1.000,0.995,-0.005,1,1,1,0.301,0.006,0.030
317,3,5,18,1,1.250,1.246,-0.004,1.000,0.996,-0.004,1,1,1,0.339,0.005,0.030
317,3,5,19,1,1.250,1.248,-0.002,1.000,0.998,-0.002,1,2,0,0.742,0.008,0.030
317,3,5,20,-1,1.250,1.245,-0.005,1.000,0.995,-0.005,1,1,1,0.703,0.006,0.030
317,3,5,21,-1,1.250,1.246,-0.004,1.000,0.996,-0.004,2,2,1,0.278,0.005,0.030
317,3,5,22,1,1.250,1.247,-0.003,1.000,0.997,-0.003,1,1,1,0.399,0.004,0.030
317,3,5,23,-1,1.250,1.249,-0.001,1.000,0.999,-0.001,1,1,1,0.353,0.002,0.030
317,3,5,24,1,1.250,1.250,0.000,1.000,1.000,0.000,1,1,1,0.139,0.001,0.030
317,3,5,25,-1,1.250,1.252,0.002,1.000,1.002,0.002,2,2,1,0.244,-0.001,0.030
317,3,5,26,-1,1.250,1.253,0.003,1.000,1.003,0.003,1,1,1,0.264,-0.002,0.030
317,3,5,27,1,1.250,1.254,0.004,1.000,1.004,0.004,1,1,1,0.217,-0.003,0.030
317,3,5,28,1,1.250,1.256,0.006,1.000,1.006,0.006,2,1,0,0.499,-0.000,0.030
317,3,5,29,-1,1.250,1.253,0.003,1.000,1.003,0.003,1,1,1,1.389,-0.002,0.029
317,3,5,30,1,1.250,1.254,0.004,1.000,1.004,0.004,1,1,1,0.453,-0.003,0.029
317,3,2,1,-1,0.500,0.472,-0.028,0.250,0.222,-0.028,2,2,1,1.351,0.029,0.030
317,3,2,2,1,0.500,0.526,0.026,0.250,0.276,0.026,2,2,1,0.276,0.027,0.030
317,3,2,3,1,0.500,0.475,-0.025,0.250,0.225,-0.025,2,2,1,0.307,0.026,0.030
317,3,2,4,-1,0.500,0.524,0.024,0.250,0.274,0.024,2,2,1,0.345,0.024,0.030
317,3,2,5,1,0.500,0.522,0.022,0.250,0.272,0.022,2,1,0,0.738,0.028,0.030
317,3,2,6,1,0.500,0.525,0.025,0.250,0.275,0.025,2,2,1,0.370,0.026,0.030
317,3,2,7,1,0.500,0.476,-0.024,0.250,0.226,-0.024,1,1,1,0.238,0.025,0.030
317,3,2,8,1,0.500,0.523,0.023,0.250,0.273,0.023,1,1,1,0.232,0.023,0.030
317,3,2,9,1,0.500,0.479,-0.021,0.250,0.229,-0.021,1,1,1,0.169,0.022,0.030
317,3,2,10,1,0.500,0.520,0.020,0.250,0.270,0.020,2,2,1,0.517,0.021,0.030
317,3,2,11,1,0.500,0.518,0.018,0.250,0.268,0.018,1,1,1,1.221,0.019,0.030
317,3,2,12,-1,0.500,0.483,-0.017,0.250,0.233,-0.017,1,1,1,1.637,0.018,0.030
317,3,2,13,1,0.500,0.516,0.016,0.250,0.266,0.016,2,1,0,0.444,0.021,0.030
317,3,2,14,-1,0.500,0.481,-0.019,0.250,0.231,-0.019,1,1,1,0.220,0.020,0.030
