subID,condition,level,iTrial,standard_real,compare_real,diff_real,standard_norm,compare_norm,diff_norm,truth,choice,feedback,cho_RT,threshold_mean,threshold_sd
1,3,3,26,2.500,2.609,0.109,0.500,0.536,0.036,1,1,1,0.221,0.036,0.013
1,3,3,27,2.500,2.393,-0.107,0.500,0.464,-0.036,1,1,1,0.166,0.035,0.013
1,3,3,28,2.500,2.396,-0.104,0.500,0.465,-0.035,2,1,0,0.122,0.037,0.013
1,3,3,29,2.500,2.610,0.110,0.500,0.537,0.037,1,1,1,0.277,0.037,0.013
1,3,3,30,2.500,2.392,-0.108,0.500,0.464,-0.036,2,1,0,0.332,0.038,0.013
1,3,4,1,3.250,3.180,-0.070,0.750,0.727,-0.023,1,1,1,0.193,0.022,0.017
1,3,4,2,3.250,3.316,0.066,0.750,0.772,0.022,1,1,1,0.091,0.021,0.017
1,3,4,3,3.250,3.312,0.062,0.750,0.771,0.021,2,1,0,0.219,0.024,0.016
1,3,4,4,3.250,3.321,0.071,0.750,0.774,0.024,1,2,0,0.302,0.027,0.016
1,3,4,5,3.250,3.329,0.079,0.750,0.776,0.026,1,1,1,0.302,0.025,0.016
1,3,4,6,3.250,3.174,-0.076,0.750,0.725,-0.025,2,2,1,0.215,0.024,0.016
1,3,4,7,3.250,3.178,-0.072,0.750,0.726,-0.024,2,1,0,0.213,0.027,0.016
1,3,4,8,3.250,3.170,-0.080,0.750,0.723,-0.027,1,1,1,0.241,0.026,0.016
1,3,4,9,3.250,3.327,0.077,0.750,0.776,0.026,2,2,1,0.344,0.025,0.016
1,3,4,10,3.250,3.177,-0.073,0.750,0.726,-0.024,2,2,1,1.206,0.024,0.016
1,3,4,11,3.250,3.180,-0.070,0.750,0.727,-0.023,1,1,1,0.167,0.023,0.016
1,3,4,12,3.250,3.317,0.067,0.750,0.772,0.022,2,1,0,0.793,0.025,0.015
1,3,4,13,3.250,3.176,-0.074,0.750,0.725,-0.025,1,1,1,0.310,0.024,0.015
1,3,4,14,3.250,3.321,0.071,0.750,0.774,0.024,1,1,1,0.114,0.023,0.015
1,3,4,15,3.250,3.318,0.068,0.750,0.773,0.023,2,1,0,0.251,0.026,0.015
1,3,4,16,3.250,3.325,0.075,0.750,0.775,0.025,1,1,1,0.224,0.025,0.015
1,3,4,17,3.250,3.178,-0.072,0.750,0.726,-0.024,1,1,1,0.465,0.024,0.015
1,3,4,18,3.250,3.181,-0.069,0.750,0.727,-0.023,1,1,1,0.138,0.022,0.015
1,3,4,19,3.250,3.316,0.066,0.750,0.772,0.022,2,1,0,0.109,0.025,0.015
1,3,4,20,3.250,3.177,-0.073,0.750,0.726,-0.024,1,2,0,0.406,0.027,0.015
1,3,4,21,3.250,3.170,-0.080,0.750,0.723,-0.027,1,1,1,0.185,0.026,0.015
1,3,4,22,3.250,3.173,-0.077,0.750,0.724,-0.026,2,1,0,0.226,0.029,0.014
1,3,4,23,3.250,3.334,0.084,0.750,0.778,0.028,1,1,1,0.269,0.028,0.014
1,3,4,24,3.250,3.169,-0.081,0.750,0.723,-0.027,2,1,0,0.192,0.030,0.014
1,3,4,25,3.250,3.162,-0.088,0.750,0.721,-0.029,2,1,0,0.122,0.032,0.014
1,3,4,26,3.250,3.344,0.094,0.750,0.781,0.031,1,1,1,0.207,0.031,0.014
1,3,4,27,3.250,3.341,0.091,0.750,0.780,0.030,1,1,1,0.166,0.030,0.014
1,3,4,28,3.250,3.339,0.089,0.750,0.780,0.030,1,1,1,0.330,0.029,0.014
1,3,4,29,3.250,3.336,0.086,0.750,0.779,0.029,1,2,0,0.545,0.031,0.014
1,3,4,30,3.250,3.158,-0.092,0.750,0.719,-0.031,1,1,1,0.373,0.031,0.014
1,3,5,1,4.000,3.930,-0.070,1.000,0.977,-0.023,1,2,0,0.101,0.026,0.016
1,3,5,2,4.000,3.921,-0.079,1.000,0.974,-0.026,1,2,0,0.366,0.029,0.016
1,3,5,3,4.000,3.913,-0.087,1.000,0.971,-0.029,2,1,0,0.628,0.032,0.016
1,3,5,4,4.000,3.905,-0.095,1.000,0.968,-0.032,2,2,1,0.683,0.031,0.016
1,3,5,5,4.000,3.908,-0.092,1.000,0.969,-0.031,2,1,0,0.492,0.033,0.015
1,3,5,6,4.000,3.901,-0.099,1.000,0.967,-0.033,2,1,0,0.347,0.036,0.015
1,3,5,7,4.000,3.893,-0.107,1.000,0.964,-0.036,2,1,0,1.933,0.038,0.015
1,3,5,8,4.000,3.886,-0.114,1.000,0.962,-0.038,1,2,0,0.262,0.041,0.014
1,3,5,9,4.000,3.880,-0.120,1.000,0.960,-0.040,1,1,1,0.271,0.040,0.014
1,3,5,10,4.000,3.882,-0.118,1.000,0.961,-0.039,2,1,0,0.623,0.042,0.014
1,3,5,11,4.000,3.876,-0.124,1.000,0.959,-0.041,2,2,1,0.613,0.041,0.014
1,3,5,12,4.000,3.879,-0.121,1.000,0.960,-0.040,1,1,1,1.406,0.040,0.014
1,3,5,13,4.000,3.881,-0.119,1.000,0.960,-0.040,2,1,0,0.584,0.042,0.014
1,3,5,14,4.000,3.875,-0.125,1.000,0.958,-0.042,2,2,1,0.397,0.041,0.014
1,3,5,15,4.000,3.878,-0.122,1.000,0.959,-0.041,2,1,0,0.614,0.043,0.014
1,3,5,16,4.000,3.872,-0.128,1.000,0.957,-0.043,2,1,0,0.908,0.045,0.014
1,3,5,17,4.000,3.865,-0.135,1.000,0.955,-0.045,1,2,0,0.362,0.047,0.013
1,3,5,18,4.000,3.860,-0.140,1.000,0.953,-0.047,1,2,0,0.421,0.049,0.013
1,3,5,19,4.000,3.854,-0.146,1.000,0.951,-0.049,2,2,1,0.291,0.048,0.013
1,3,5,20,4.000,3.856,-0.144,1.000,0.952,-0.048,1,2,0,0.303,0.050,0.013
1,3,5,21,4.000,3.851,-0.149,1.000,0.950,-0.050,1,1,1,0.462,0.049,0.013
1,3,5,22,4.000,3.853,-0.147,1.000,0.951,-0.049,1,1,1,0.165,0.049,0.013
1,3,5,23,4.000,3.856,-0.144,1.000,0.952,-0.048,1,1,1,0.211,0.048,0.013
1,3,5,24,4.000,3.858,-0.142,1.000,0.953,-0.047,1,1,1,0.117,0.047,0.013
1,3,5,25,4.000,3.861,-0.139,1.000,0.954,-0.046,2,2,1,0.140,0.046,0.013
1,3,5,26,4.000,3.863,-0.137,1.000,0.954,-0.046,1,1,1,0.696,0.046,0.013
1,3,5,27,4.000,3.865,-0.135,1.000,0.955,-0.045,2,2,1,0.148,0.045,0.013
1,3,5,28,4.000,3.867,-0.133,1.000,0.956,-0.044,2,2,1,0.189,0.044,0.013
