subID,condition,level,iTrial,standard_real,compare_real,diff_real,standard_norm,compare_norm,diff_norm,truth,choice,feedback,cho_RT,threshold_mean,threshold_sd
402,3,5,23,4.000,3.939,-0.061,1.000,0.980,-0.020,2,2,1,0.134,0.020,0.015
402,3,5,24,4.000,3.942,-0.058,1.000,0.981,-0.019,1,2,0,0.325,0.022,0.015
402,3,5,25,4.000,3.935,-0.065,1.000,0.978,-0.022,2,2,1,0.134,0.021,0.015
402,3,5,26,4.000,3.938,-0.062,1.000,0.979,-0.021,1,2,0,0.128,0.024,0.014
402,3,5,27,4.000,3.931,-0.069,1.000,0.977,-0.023,1,2,0,0.145,0.026,0.014
402,3,5,28,4.000,3.924,-0.076,1.000,0.975,-0.025,1,1,1,0.448,0.025,0.014
402,3,5,29,4.000,3.927,-0.073,1.000,0.976,-0.024,2,2,1,0.194,0.024,0.014
402,3,5,30,4.000,3.930,-0.070,1.000,0.977,-0.023,1,1,1,0.220,0.023,0.014
402,3,1,1,1.000,1.070,0.070,0.000,0.023,0.023,1,2,0,0.280,0.026,0.016
402,3,1,2,1.000,1.079,0.079,0.000,0.026,0.026,1,1,1,0.833,0.025,0.016
402,3,1,3,1.000,1.075,0.075,0.000,0.025,0.025,2,2,1,0.188,0.024,0.016
402,3,1,4,1.000,1.071,0.071,0.000,0.024,0.024,2,2,1,1.275,0.023,0.016
402,3,1,5,1.000,1.068,0.068,0.000,0.023,0.023,2,2,1,0.342,0.022,0.016
402,3,1,6,1.000,1.064,0.064,0.000,0.021,0.021,2,2,1,0.257,0.020,0.016
402,3,1,7,1.000,1.060,0.060,0.000,0.020,0.020,1,2,0,0.399,0.023,0.016
402,3,1,8,1.000,1.069,0.069,0.000,0.023,0.023,2,2,1,0.192,0.022,0.016
402,3,1,9,1.000,1.065,0.065,0.000,0.022,0.022,1,1,1,0.202,0.021,0.016
402,3,1,10,1.000,1.062,0.062,0.000,0.021,0.021,1,1,1,0.622,0.020,0.016
402,3,1,11,1.000,1.058,0.058,0.000,0.019,0.019,2,2,1,0.161,0.019,0.016
402,3,1,12,1.000,1.055,0.055,0.000,0.018,0.018,2,2,1,0.331,0.017,0.016
402,3,1,13,1.000,1.051,0.051,0.000,0.017,0.017,2,2,1,0.224,0.016,0.016
402,3,1,14,1.000,1.048,0.048,0.000,0.016,0.016,2,1,0,0.141,0.019,0.016
402,3,1,15,1.000,1.056,0.056,0.000,0.019,0.019,2,1,0,0.675,0.022,0.015
402,3,1,16,1.000,1.064,0.064,0.000,0.021,0.021,2,2,1,0.422,0.021,0.015
402,3,1,17,1.000,1.060,0.060,0.000,0.020,0.020,1,1,1,0.215,0.019,0.015
402,3,1,18,1.000,1.057,0.057,0.000,0.019,0.019,2,2,1,0.174,0.018,0.015
402,3,1,19,1.000,1.054,0.054,0.000,0.018,0.018,2,2,1,0.502,0.017,0.015
402,3,1,20,1.000,1.051,0.051,0.000,0.017,0.017,1,2,0,0.821,0.020,0.015
402,3,1,21,1.000,1.058,0.058,0.000,0.019,0.019,1,2,0,0.195,0.022,0.015
402,3,1,22,1.000,1.065,0.065,0.000,0.022,0.022,1,2,0,0.261,0.025,0.015
402,3,1,23,1.000,1.072,0.072,0.000,0.024,0.024,2,2,1,0.278,0.024,0.015
402,3,1,24,1.000,1.069,0.069,0.000,0.023,0.023,2,2,1,0.126,0.023,0.015
402,3,1,25,1.000,1.066,0.066,0.000,0.022,0.022,2,2,1,0.254,0.022,0.015
402,3,1,26,1.000,1.063,0.063,0.000,0.021,0.021,1,1,1,0.538,0.021,0.014
402,3,1,27,1.000,1.061,0.061,0.000,0.020,0.020,1,1,1,0.793,0.020,0.014
402,3,1,28,1.000,1.058,0.058,0.000,0.019,0.019,2,2,1,0.700,0.019,0.014
402,3,1,29,1.000,1.055,0.055,0.000,0.018,0.018,1,1,1,0.218,0.018,0.014
402,3,1,30,1.000,1.052,0.052,0.000,0.017,0.017,2,2,1,0.194,0.017,0.014
402,3,4,1,3.250,3.320,0.070,0.750,0.773,0.023,2,2,1,0.317,0.022,0.017
402,3,4,2,3.250,3.184,-0.066,0.750,0.728,-0.022,1,1,1,0.704,0.021,0.017
402,3,4,3,3.250,3.188,-0.062,0.750,0.729,-0.021,1,1,1,0.534,0.020,0.017
402,3,4,4,3.250,3.308,0.058,0.750,0.769,0.019,2,2,1,0.285,0.018,0.017
402,3,4,5,3.250,3.304,0.054,0.750,0.768,0.018,2,1,0,0.007,0.021,0.016
402,3,4,6,3.250,3.313,0.063,0.750,0.771,0.021,2,2,1,0.676,0.020,0.016
402,3,4,7,3.250,3.309,0.059,0.750,0.770,0.020,1,2,0,0.434,0.023,0.016
402,3,4,8,3.250,3.182,-0.068,0.750,0.727,-0.023,1,1,1,0.077,0.022,0.016
402,3,4,9,3.250,3.186,-0.064,0.750,0.729,-0.021,1,1,1,0.175,0.021,0.016
402,3,4,10,3.250,3.311,0.061,0.750,0.770,0.020,2,1,0,0.106,0.023,0.016
402,3,4,11,3.250,3.181,-0.069,0.750,0.727,-0.023,2,2,1,0.157,0.022,0.016
402,3,4,12,3.250,3.315,0.065,0.750,0.772,0.022,2,1,0,0.147,0.025,0.015
402,3,4,13,3.250,3.177,-0.073,0.750,0.726,-0.024,1,1,1,0.188,0.024,0.015
402,3,4,14,3.250,3.180,-0.070,0.750,0.727,-0.023,2,2,1,0.407,0.023,0.015
402,3,4,15,3.250,3.317,0.067,0.750,0.772,0.022,2,2,1,0.417,0.022,0.015
402,3,4,16,3.250,3.313,0.063,0.750,0.771,0.021,1,1,1,0.093,0.021,0.015
402,3,4,17,3.250,3.310,0.060,0.750,0.770,0.020,2,2,1,0.268,0.019,0.015
402,3,4,18,3.250,3.193,-0.057,0.750,0.731,-0.019,1,1,1,0.361,0.018,0.015
402,3,4,19,3.250,3.196,-0.054,0.750,0.732,-0.018,1,2,0,0.307,0.021,0.015
402,3,4,20,3.250,3.189,-0.061,0.750,0.730,-0.020,1,1,1,0.456,0.020,0.015
402,3,4,21,3.250,3.308,0.058,0.750,0.769,0.019,2,2,1,0.491,0.019,0.015
402,3,4,22,3.250,3.305,0.055,0.750,0.768,0.018,2,2,1,0.172,0.018,0.015
402,3,4,23,3.250,3.302,0.052,0.750,0.767,0.017,1,1,1,0.065,0.017,0.015
402,3,4,24,3.250,3.202,-0.048,0.750,0.734,-0.016,1,2,0,1.540,0.019,0.015
402,3,4,25,3.250,3.306,0.056,0.750,0.769,0.019,2,1,0,0.691,0.021,0.015
402,3,4,26,3.250,3.313,0.063,0.750,0.771,0.021,1,1,1,0.071,0.021,0.015
402,3,4,27,3.250,3.310,0.060,0.750,0.770,0.020,1,1,1,0.426,0.020,0.014
402,3,4,28,3.250,3.193,-0.057,0.750,0.731,-0.019,1,1,1,0.318,0.019,0.014
402,3,4,29,3.250,3.196,-0.054,0.750,0.732,-0.018,2,2,1,0.320,0.018,0.014
402,3,4,30,3.250,3.301,0.051,0.750,0.767,0.017,2,1,0,0.302,0.020,0.014
402,3,2,1,1.750,1.680,-0.070,0.250,0.227,-0.023,1,1,1,0.527,0.022,0.017
