iTrial,x,y,node,timestamp
8,394.27087188502867,218.75,head_neck,1733577426172
8,394.27087188502867,218.75,head_neck,1733577426188
8,394.27087188502867,218.75,head_neck,1733577426205
8,394.27087188502867,218.75,head_neck,1733577426222
8,394.27087188502867,218.75,head_neck,1733577426222
8,90,119,up,1733577426222
9,790,319,down,1733577429319
9,797.0982867474032,322.1003147464349,head_end,1733577429358
9,799.0313767084934,323.2163847558381,head_end,1733577429371
9,809.8798063064398,329.4797285044971,head_end,1733577429388
9,845.7922829036819,350.21380653518094,head_end,1733577429405
9,852.6388374866285,354.16666666666663,head_end,1733577429421
9,852.6388374866285,354.16666666666663,head_end,1733577429438
9,852.6388374866285,354.16666666666663,head_end,1733577429455
9,852.6388374866285,354.16666666666663,head_end,1733577429471
9,852.6388374866285,354.16666666666663,head_end,1733577429488
9,852.6388374866285,354.16666666666663,head_end,1733577429505
9,852.6388374866285,354.16666666666663,head_end,1733577429521
9,852.6388374866285,354.16666666666663,head_end,1733577429538
9,1195,483,up,1733577429564
10,789,342,down,1733577432423
10,794,345,down,1733577433627
10,795.1646660026363,342.65060495559976,head_end,1733577433714
10,790.5509110892715,339.9868523143936,head_end,1733577433722
10,771.229404728902,328.83157541608523,head_end,1733577433738
10,745.3863238172652,313.91106569506246,head_end,1733577433755
10,721.2916512459885,300,head_end,1733577433771
10,721.2916512459885,300,head_end,1733577433788
10,721.2916512459885,300,head_end,1733577433804
10,721.2916512459885,300,head_end,1733577433821
10,721.2916512459885,300,head_end,1733577433838
10,721.2916512459885,300,head_end,1733577433854
10,721.2916512459885,300,head_end,1733577433871
10,629,263,up,1733577433950
10,694,285,down,1733577434941
10,693.5886778288188,283.49431915975595,head_neck,1733577434988
10,700.9098617645545,279.2674316436722,head_neck,1733577435004
10,731.1429888189808,261.81232760035505,head_neck,1733577435021
10,802.951528099371,220.35364811670792,head_neck,1733577435038
10,805.7291281149713,218.75,head_neck,1733577435054
10,805.7291281149713,218.75,head_neck,1733577435071
10,805.7291281149713,218.75,head_neck,1733577435088
10,1241,205,up,1733577435146
11,874,280,down,1733577437785
11,872.1538217420544,278.76698141310163,head_end,1733577437824
11,873.6581474635673,279.6355042733659,head_end,1733577437838
11,887.6222682829409,287.6976931874278,head_end,1733577437854
11,925.3370142693233,309.47231193508395,head_end,1733577437871
11,927.6943724812797,310.83333333333337,head_end,1733577437888
11,927.6943724812797,310.83333333333337,head_end,1733577437904
11,927.6943724812797,310.83333333333337,head_end,1733577437921
11,927.6943724812797,310.83333333333337,head_end,1733577437938
11,927.6943724812797,310.83333333333337,head_end,1733577437954
11,927.6943724812797,310.83333333333337,head_end,1733577437971
11,927.6943724812797,310.83333333333337,head_end,1733577437988
11,1174,448,up,1733577437998
12,905,277,down,1733577440477
12,909.681390592802,278.7668667244462,head_end,1733577440516
12,911.6144668629772,279.88292882939595,head_end,1733577440524
12,917.4140473755604,283.2313181995227,head_end,1733577440537
12,942.5515266698058,297.7444486368039,head_end,1733577440554
12,946.4582562299427,300,head_end,1733577440571
12,946.4582562299427,300,head_end,1733577440587
12,946.4582562299427,300,head_end,1733577440604
12,946.4582562299427,300,head_end,1733577440621
12,946.4582562299427,300,head_end,1733577440637
12,946.4582562299427,300,head_end,1733577440654
12,1205,421,up,1733577440674
13,776,285,down,1733577443677
13,777.1563408159257,288.9201602280648,head_end,1733577443716
13,776.4083907233479,288.48833104077465,head_end,1733577443724
13,772.543008366409,286.2566514964752,head_end,1733577443737
13,758.8194187433141,278.33333333333337,head_end,1733577443754
13,758.8194187433141,278.33333333333337,head_end,1733577443771
13,765.1649982075163,281.9969553451546,head_end,1733577443788
13,760.1677018122946,279.111764926153,head_end,1733577443804
13,758.8194187433141,278.33333333333337,head_end,1733577443821
13,555,195,up,1733577443834
14,363,368,down,1733577446639
14,366.5560542898142,364.75115739913844,head_end,1733577446796
14,372.7875026244018,361.1534290257231,head_end,1733577446804
14,410.0440501912253,339.6433512589414,head_end,1733577446820
14,475.47513828739926,301.8666949332453,head_end,1733577446837
14,452.45818332912296,315.1555400743316,head_end,1733577446854
14,478.70834875401147,300,head_end,1733577446871
14,478.70834875401147,300,head_end,1733577446887
14,478.70834875401147,300,head_end,1733577446904
14,478.70834875401147,300,head_end,1733577446920
14,478.70834875401147,300,head_end,1733577446937
14,764,232,up,1733577446978
