iSub,feature_name,level,threshold_mean_mean
207,neck,4,0.023666666666666666
207,neck,5,0.0218
207,head,1,0.022366666666666667
207,head,2,0.024
207,head,3,0.03236666666666667
207,head,4,0.030033333333333335
207,head,5,0.0229
207,leg,1,0.01983333333333333
207,leg,2,0.027566666666666666
207,leg,3,0.027333333333333334
207,leg,4,0.03786666666666667
207,leg,5,0.0252
207,tail,1,0.014166666666666666
207,tail,2,0.0324
207,tail,3,0.031133333333333336
207,tail,4,0.0313
207,tail,5,0.026366666666666667
208,neck,1,0.017366666666666666
208,neck,2,0.0222
208,neck,3,0.0223
208,neck,4,0.022500000000000003
208,neck,5,0.023966666666666667
208,head,1,0.011566666666666666
208,head,2,0.0203
208,head,3,0.013699999999999999
208,head,4,0.028166666666666666
208,head,5,0.0197
208,leg,1,0.014766666666666668
208,leg,2,0.022733333333333335
208,leg,3,0.0207
208,leg,4,0.0217
208,leg,5,0.013333333333333334
208,tail,1,0.0181
208,tail,2,0.017233333333333333
208,tail,3,0.019766666666666665
208,tail,4,0.020533333333333334
208,tail,5,0.02606666666666667
209,neck,1,0.01583333333333333
209,neck,2,0.017566666666666668
209,neck,3,0.02266666666666667
209,neck,4,0.020933333333333335
209,neck,5,0.024266666666666666
209,head,1,0.0145
209,head,2,0.02256666666666667
209,head,3,0.019633333333333332
209,head,4,0.029433333333333332
209,head,5,0.0212
209,leg,1,0.015233333333333333
209,leg,2,0.0175
209,leg,3,0.023
209,leg,4,0.025666666666666667
209,leg,5,0.0245
209,tail,1,0.015066666666666667
209,tail,2,0.016733333333333333
209,tail,3,0.0209
209,tail,4,0.0227
209,tail,5,0.027766666666666665
210,neck,1,0.018533333333333336
210,neck,2,0.02196666666666667
210,neck,3,0.0191
210,neck,4,0.02443333333333333
210,neck,5,0.03153333333333334
210,head,1,0.019033333333333333
210,head,2,0.0259
210,head,3,0.0365
210,head,4,0.025033333333333335
210,head,5,0.035133333333333336
210,leg,1,0.016633333333333333
210,leg,2,0.0253
210,leg,3,0.033900000000000007
210,leg,4,0.027766666666666665
210,leg,5,0.018033333333333335
210,tail,1,0.012733333333333334
210,tail,2,0.022933333333333337
210,tail,3,0.0246
210,tail,4,0.0294
210,tail,5,0.030500000000000003
211,neck,1,0.02333333333333333
211,neck,2,0.023666666666666666
