version,condition,structure1,structure2,iTrial,stiID,category,choice,feedback,choRT
1,3,1,6,279,398,3,3,1.0,0.977
1,3,1,6,280,33,1,1,1.0,1.071
1,3,1,6,281,474,2,2,1.0,1.299
1,3,1,6,282,403,2,2,1.0,0.936
1,3,1,6,283,157,3,3,1.0,1.626
1,3,1,6,284,447,4,4,1.0,1.856
1,3,1,6,285,426,2,2,1.0,0.979
1,3,1,6,286,218,1,1,1.0,2.228
1,3,1,6,287,443,2,2,1.0,0.94
1,3,1,6,288,485,4,4,1.0,5.535
1,3,1,6,289,154,1,1,1.0,1.397
1,3,1,6,290,122,1,1,1.0,0.773
1,3,1,6,291,151,3,3,1.0,1.292
1,3,1,6,292,116,1,1,1.0,1.721
1,3,1,6,293,392,3,3,1.0,1.217
1,3,1,6,294,130,1,1,1.0,1.013
1,3,1,6,295,5,3,3,1.0,1.588
1,3,1,6,296,170,1,1,1.0,0.894
1,3,1,6,297,427,2,2,1.0,2.161
1,3,1,6,298,276,2,2,1.0,2.188
1,3,1,6,299,450,2,2,1.0,1.153
1,3,1,6,300,30,3,4,0.5,14.776
1,3,1,6,301,296,4,4,1.0,1.747
1,3,1,6,302,351,3,3,1.0,1.316
1,3,1,6,303,272,3,3,1.0,1.662
1,3,1,6,304,123,1,1,1.0,1.288
1,3,1,6,305,3,1,1,1.0,0.683
1,3,1,6,306,512,4,4,1.0,0.993
1,3,1,6,307,252,1,1,1.0,2.354
1,3,1,6,308,280,3,3,1.0,1.484
1,3,1,6,309,257,2,2,1.0,2.057
1,3,1,6,310,61,4,4,1.0,1.72
1,3,1,6,311,256,4,4,1.0,0.716
1,3,1,6,312,195,1,1,1.0,1.596
1,3,1,6,313,49,1,1,1.0,1.151
1,3,1,6,314,293,4,4,1.0,2.105
1,3,1,6,315,138,1,1,1.0,1.294
1,3,1,6,316,75,1,1,1.0,0.995
1,3,1,6,317,441,2,2,1.0,1.068
1,3,1,6,318,211,1,1,1.0,1.423
1,3,1,6,319,105,1,1,1.0,1.077
1,3,1,6,320,160,3,3,1.0,4.886
1,3,1,6,321,41,1,1,1.0,1.323
1,3,1,6,322,362,2,2,1.0,0.931
1,3,1,6,323,227,1,1,1.0,3.249
1,3,1,6,324,492,2,2,1.0,1.899
1,3,1,6,325,349,3,3,1.0,4.438
1,3,1,6,326,482,2,2,1.0,1.222
1,3,1,6,327,14,3,3,1.0,4.241
1,3,1,6,328,243,1,1,1.0,1.965
1,3,1,6,329,65,1,1,1.0,0.977
1,3,1,6,330,186,1,1,1.0,0.862
1,3,1,6,331,504,4,4,1.0,2.221
1,3,1,6,332,469,3,3,1.0,1.873
1,3,1,6,333,135,3,3,1.0,1.155
1,3,1,6,334,321,2,2,1.0,1.716
1,3,1,6,335,85,3,3,1.0,1.804
1,3,1,6,336,118,4,4,1.0,1.452
1,3,1,6,337,510,4,4,1.0,1.246
1,3,1,6,338,298,2,2,1.0,2.09
1,3,1,6,339,328,3,3,1.0,1.477
1,3,1,6,340,98,1,1,1.0,2.277
1,3,1,6,341,155,1,1,1.0,0.982
1,3,1,6,342,369,2,2,1.0,1.205
1,3,1,6,343,493,4,4,1.0,1.602
1,3,1,6,344,54,4,4,1.0,1.169
1,3,1,6,345,60,1,1,1.0,4.975
1,3,1,6,346,486,4,4,1.0,1.314
1,3,1,6,347,305,2,2,1.0,2.194
1,3,1,6,348,107,1,1,1.0,1.439
1,3,1,6,349,475,2,2,1.0,0.994
1,3,1,6,350,159,3,3,1.0,1.469
1,3,1,6,351,335,3,3,1.0,0.846
1,3,1,6,352,347,2,2,1.0,3.759
1,3,1,6,353,161,1,1,1.0,1.211
1,3,1,6,354,459,2,2,1.0,1.208
1,3,1,6,355,96,3,3,1.0,10.561
1,3,1,6,356,491,2,2,1.0,1.328
1,3,1,6,357,476,2,2,1.0,4.842
1,3,1,6,358,318,4,4,1.0,1.164
1,3,1,6,359,214,3,3,1.0,1.253
1,3,1,6,360,465,2,2,1.0,1.775
1,3,1,6,361,509,4,4,1.0,3.135
1,3,1,6,362,402,2,2,1.0,1.117
1,3,1,6,363,322,2,2,1.0,0.791
