subID,feature,level,iTrial,standard_real,compare_real,diff_real,standard_norm,compare_norm,diff_norm,truth,choice,feedback,cho_RT,threshold_mean,threshold_sd
401,1,1,20,1.000,1.053,0.053,0.000,0.018,0.018,2,2,1,0.129,0.017,0.015
401,1,1,21,1.000,1.050,0.050,0.000,0.017,0.017,2,2,1,0.326,0.016,0.015
401,1,1,22,1.000,1.047,0.047,0.000,0.016,0.016,2,1,0,0.431,0.019,0.015
401,1,1,23,1.000,1.054,0.054,0.000,0.018,0.018,2,2,1,0.365,0.018,0.015
401,1,1,24,1.000,1.051,0.051,0.000,0.017,0.017,1,1,1,0.377,0.017,0.015
401,1,1,25,1.000,1.048,0.048,0.000,0.016,0.016,1,2,0,0.166,0.019,0.015
401,1,1,26,1.000,1.055,0.055,0.000,0.018,0.018,2,2,1,0.329,0.018,0.015
401,1,1,27,1.000,1.052,0.052,0.000,0.017,0.017,2,1,0,0.181,0.020,0.014
401,1,1,28,1.000,1.059,0.059,0.000,0.020,0.020,2,2,1,0.189,0.019,0.014
401,1,1,29,1.000,1.056,0.056,0.000,0.019,0.019,1,1,1,0.203,0.018,0.014
401,1,1,30,1.000,1.053,0.053,0.000,0.018,0.018,2,2,1,0.285,0.017,0.014
401,1,3,1,2.500,2.570,0.070,0.500,0.523,0.023,2,1,0,0.317,0.026,0.016
401,1,3,2,2.500,2.421,-0.079,0.500,0.474,-0.026,1,1,1,0.175,0.025,0.016
401,1,3,3,2.500,2.425,-0.075,0.500,0.475,-0.025,1,1,1,0.119,0.024,0.016
401,1,3,4,2.500,2.571,0.071,0.500,0.524,0.024,1,1,1,0.215,0.023,0.016
401,1,3,5,2.500,2.568,0.068,0.500,0.523,0.023,1,1,1,0.343,0.022,0.016
401,1,3,6,2.500,2.436,-0.064,0.500,0.479,-0.021,2,2,1,0.280,0.020,0.016
401,1,3,7,2.500,2.440,-0.060,0.500,0.480,-0.020,2,2,1,0.240,0.019,0.016
401,1,3,8,2.500,2.443,-0.057,0.500,0.481,-0.019,1,1,1,1.540,0.018,0.016
401,1,3,9,2.500,2.447,-0.053,0.500,0.482,-0.018,2,2,1,0.274,0.017,0.016
401,1,3,10,2.500,2.549,0.049,0.500,0.516,0.016,2,1,0,0.464,0.020,0.016
401,1,3,11,2.500,2.442,-0.058,0.500,0.481,-0.019,2,2,1,0.188,0.018,0.016
401,1,3,12,2.500,2.554,0.054,0.500,0.518,0.018,1,1,1,0.326,0.017,0.016
401,1,3,13,2.500,2.449,-0.051,0.500,0.483,-0.017,1,1,1,0.310,0.016,0.016
401,1,3,14,2.500,2.453,-0.047,0.500,0.484,-0.016,1,1,1,0.971,0.015,0.016
401,1,3,15,2.500,2.544,0.044,0.500,0.515,0.015,1,1,1,0.322,0.014,0.016
401,1,3,16,2.500,2.540,0.040,0.500,0.513,0.013,2,2,1,0.902,0.013,0.016
401,1,3,17,2.500,2.537,0.037,0.500,0.512,0.012,2,2,1,0.217,0.012,0.016
401,1,3,18,2.500,2.467,-0.033,0.500,0.489,-0.011,1,1,1,0.508,0.010,0.016
401,1,3,19,2.500,2.470,-0.030,0.500,0.490,-0.010,2,2,1,0.428,0.009,0.016
401,1,3,20,2.500,2.526,0.026,0.500,0.509,0.009,1,1,1,0.332,0.008,0.016
401,1,3,21,2.500,2.523,0.023,0.500,0.508,0.008,2,2,1,1.445,0.007,0.016
401,1,3,22,2.500,2.480,-0.020,0.500,0.493,-0.007,1,1,1,0.465,0.006,0.016
401,1,3,23,2.500,2.484,-0.016,0.500,0.495,-0.005,1,1,1,0.786,0.005,0.015
401,1,3,24,2.500,2.513,0.013,0.500,0.504,0.004,1,1,1,0.235,0.004,0.015
401,1,3,25,2.500,2.510,0.010,0.500,0.503,0.003,2,2,1,0.254,0.003,0.015
401,1,3,26,2.500,2.494,-0.006,0.500,0.498,-0.002,1,2,0,0.311,0.005,0.015
401,1,3,27,2.500,2.486,-0.014,0.500,0.495,-0.005,1,1,1,0.958,0.004,0.015
401,1,3,28,2.500,2.511,0.011,0.500,0.504,0.004,1,2,0,0.421,0.007,0.015
401,1,3,29,2.500,2.482,-0.018,0.500,0.494,-0.006,2,2,1,0.283,0.006,0.015
401,1,3,30,2.500,2.515,0.015,0.500,0.505,0.005,1,1,1,0.969,0.005,0.015
401,1,4,1,3.250,3.180,-0.070,0.750,0.727,-0.023,1,1,1,0.560,0.022,0.017
401,1,4,2,3.250,3.184,-0.066,0.750,0.728,-0.022,2,1,0,0.488,0.025,0.016
401,1,4,3,3.250,3.325,0.075,0.750,0.775,0.025,1,1,1,0.254,0.024,0.016
401,1,4,4,3.250,3.179,-0.071,0.750,0.726,-0.024,2,2,1,0.270,0.023,0.016
401,1,4,5,3.250,3.182,-0.068,0.750,0.727,-0.023,2,2,1,0.272,0.022,0.016
401,1,4,6,3.250,3.186,-0.064,0.750,0.729,-0.021,1,1,1,0.268,0.020,0.016
401,1,4,7,3.250,3.310,0.060,0.750,0.770,0.020,1,1,1,0.232,0.019,0.016
401,1,4,8,3.250,3.193,-0.057,0.750,0.731,-0.019,1,1,1,0.090,0.018,0.016
401,1,4,9,3.250,3.303,0.053,0.750,0.768,0.018,2,2,1,0.202,0.017,0.016
401,1,4,10,3.250,3.201,-0.049,0.750,0.734,-0.016,1,1,1,0.138,0.015,0.016
401,1,4,11,3.250,3.204,-0.046,0.750,0.735,-0.015,2,1,0,0.284,0.018,0.016
401,1,4,12,3.250,3.196,-0.054,0.750,0.732,-0.018,2,2,1,0.271,0.017,0.016
401,1,4,13,3.250,3.199,-0.051,0.750,0.733,-0.017,2,2,1,0.263,0.016,0.016
401,1,4,14,3.250,3.297,0.047,0.750,0.766,0.016,1,1,1,0.257,0.015,0.016
401,1,4,15,3.250,3.206,-0.044,0.750,0.735,-0.015,2,2,1,0.337,0.014,0.016
401,1,4,16,3.250,3.210,-0.040,0.750,0.737,-0.013,2,1,0,0.232,0.016,0.016
401,1,4,17,3.250,3.202,-0.048,0.750,0.734,-0.016,1,1,1,0.702,0.015,0.016
401,1,4,18,3.250,3.295,0.045,0.750,0.765,0.015,2,2,1,0.475,0.014,0.016
401,1,4,19,3.250,3.209,-0.041,0.750,0.736,-0.014,2,1,0,0.393,0.017,0.015
401,1,4,20,3.250,3.299,0.049,0.750,0.766,0.016,1,1,1,0.492,0.016,0.015
401,1,4,21,3.250,3.204,-0.046,0.750,0.735,-0.015,1,2,0,0.573,0.018,0.015
401,1,4,22,3.250,3.197,-0.053,0.750,0.732,-0.018,2,2,1,0.638,0.017,0.015
401,1,4,23,3.250,3.300,0.050,0.750,0.767,0.017,1,1,1,0.293,0.016,0.015
401,1,4,24,3.250,3.203,-0.047,0.750,0.734,-0.016,1,1,1,0.647,0.015,0.015
401,1,4,25,3.250,3.206,-0.044,0.750,0.735,-0.015,2,2,1,1.554,0.014,0.015
401,1,4,26,3.250,3.291,0.041,0.750,0.764,0.014,2,2,1,0.472,0.013,0.015
401,1,4,27,3.250,3.288,0.038,0.750,0.763,0.013,1,1,1,0.161,0.012,0.015
401,1,4,28,3.250,3.215,-0.035,0.750,0.738,-0.012,2,1,0,0.330,0.014,0.015
401,1,4,29,3.250,3.291,0.041,0.750,0.764,0.014,2,1,0,0.302,0.017,0.015
401,1,4,30,3.250,3.298,0.048,0.750,0.766,0.016,1,1,1,0.056,0.016,0.014
401,4,2,1,1.750,1.820,0.070,0.250,0.273,0.023,1,1,1,0.379,0.022,0.017
401,4,2,2,1.750,1.816,0.066,0.250,0.272,0.022,1,1,1,0.363,0.021,0.017
401,4,2,3,1.750,1.688,-0.062,0.250,0.229,-0.021,2,2,1,0.567,0.020,0.017
401,4,2,4,1.750,1.692,-0.058,0.250,0.231,-0.019,1,2,0,4.816,0.023,0.016
401,4,2,5,1.750,1.817,0.067,0.250,0.272,0.022,2,2,1,0.280,0.021,0.016
401,4,2,6,1.750,1.813,0.063,0.250,0.271,0.021,1,1,1,0.106,0.020,0.016
401,4,2,7,1.750,1.810,0.060,0.250,0.270,0.020,1,1,1,0.277,0.019,0.016
401,4,2,8,1.750,1.806,0.056,0.250,0.269,0.019,2,1,0,0.717,0.022,0.016
