iSub,version,condition,iSession,iBlock,iTrial,neck_length,head_length,leg_length,tail_length,neck_angle,head_angle,leg_angle,tail_angle,feature1,feature2,feature3,feature4,category,choice,feedback,ambigous,choRT,neck_oral,head_oral,leg_oral,tail_oral,text,human_feature_1,human_feature_2,human_feature_3,human_feature_4,neck_use,head_use,leg_use,tail_use,feature1_use,feature2_use,feature3_use,feature4_use,choice_1_feature_1,choice_1_feature_2,choice_1_feature_3,choice_1_feature_4,choice_2_feature_1,choice_2_feature_2,choice_2_feature_3,choice_2_feature_4
7,1,1,1,1,31,0.264632175996751,0.453029798631955,0.260741830313487,0.568238638734672,0.5,0.5,0.5,0.5,0.264632175996751,0.260741830313487,0.453029798631955,0.568238638734672,1,1,1.0,0,24.203,0.25,0.75,0.25,0.75,头和尾巴最长，脖子和腿最短。,0.25,0.25,0.75,0.75,1,1,1,1,1,1,1,1,0.25,0.5,0.5,0.5,0.75,0.5,0.5,0.5
7,1,1,1,1,32,0.381333766909237,0.81463204662275,0.478623321819489,0.690947636911153,0.5,0.5,0.5,0.5,0.381333766909237,0.478623321819489,0.81463204662275,0.690947636911153,1,1,1.0,0,9.866,0.75,0.75,0.25,0.25,头和脖子最长，尾巴和腿最短。,0.75,0.25,0.75,0.25,1,1,1,1,1,1,1,1,0.25,0.5,0.5,0.5,0.75,0.5,0.5,0.5
7,1,1,1,1,33,0.90615037717669,0.318854907118592,0.8957302030956,0.128889216014452,0.5,0.5,0.5,0.5,0.90615037717669,0.8957302030956,0.318854907118592,0.128889216014452,3,2,1.0,0,5.412,0.75,0.25,0.75,0.25,头和尾巴比较短，脖子和腿很长。,0.75,0.75,0.25,0.25,1,1,1,1,1,1,1,1,0.25,0.5,0.5,0.5,0.75,0.5,0.5,0.5
7,1,1,1,1,34,0.142935290936891,0.99815236869678,0.087864841074506,0.525171068596032,0.5,0.5,0.5,0.5,0.142935290936891,0.087864841074506,0.99815236869678,0.525171068596032,1,1,1.0,0,3.124,0.25,0.75,0.25,0.75,头和尾巴很长，脖子和腿很短。,0.25,0.25,0.75,0.75,1,1,1,1,1,1,1,1,0.25,0.5,0.5,0.5,0.75,0.5,0.5,0.5
7,1,1,1,1,35,0.591818853351356,0.380988662185876,0.454422728196924,0.153482880759523,0.5,0.5,0.5,0.5,0.591818853351356,0.454422728196924,0.380988662185876,0.153482880759523,3,2,1.0,0,6.017,0.5,0.5,0.5,0.25,尾巴很短。,0.5,0.5,0.5,0.25,0,0,0,1,0,0,0,1,0.25,0.5,0.5,0.5,0.75,0.5,0.5,0.5
7,1,1,1,1,36,0.740480351781414,0.6097283201718,0.529531084905251,0.145275869168483,0.5,0.5,0.5,0.5,0.740480351781414,0.529531084905251,0.6097283201718,0.145275869168483,4,2,1.0,0,3.818,0.5,0.5,0.5,0.25,尾巴很短。,0.5,0.5,0.5,0.25,0,0,0,1,0,0,0,1,0.25,0.5,0.5,0.5,0.75,0.5,0.5,0.5
7,1,1,1,1,37,0.76759835082424,0.327433156810133,0.308932048662768,0.77817524535971,0.5,0.5,0.5,0.5,0.76759835082424,0.308932048662768,0.327433156810133,0.77817524535971,3,1,0.0,0,15.446,0.75,0.25,0.25,0.75,头和腿最短，尾巴和脖子最长。,0.75,0.25,0.25,0.75,1,1,1,1,1,1,1,1,0.25,0.5,0.5,0.5,0.75,0.5,0.5,0.5
7,1,1,1,1,38,0.331047950488835,0.102961092323584,0.9591027925251,0.459806790039275,0.5,0.5,0.5,0.5,0.331047950488835,0.9591027925251,0.102961092323584,0.459806790039275,2,2,0.0,0,39.243,0.8,0.4,0.775,0.8,头最短，腿很长。,0.8,0.775,0.4,0.8,0,1,1,0,0,1,1,0,0.25,0.5,0.5,0.5,0.75,0.5,0.5,0.5
7,1,1,1,1,39,0.376072664102712,0.231505547762507,0.747002399022807,0.391369562087645,0.5,0.5,0.5,0.5,0.376072664102712,0.747002399022807,0.231505547762507,0.391369562087645,2,1,1.0,0,22.748,0.4,0.4,0.8,0.4,腿最长。,0.4,0.8,0.4,0.4,0,0,1,0,0,1,0,0,0.25,0.5,0.5,0.5,0.75,0.5,0.5,0.5
7,1,1,1,1,40,0.428738033342292,0.162385802694206,0.199625879440965,0.156388177321797,0.5,0.5,0.5,0.5,0.428738033342292,0.199625879440965,0.162385802694206,0.156388177321797,1,2,0.0,0,7.665,0.75,0.25,0.25,0.25,脖子最长，其余三部分很短。,0.75,0.25,0.25,0.25,1,0,0,0,1,0,0,0,0.25,0.5,0.5,0.5,0.75,0.5,0.5,0.5
