iSub,feature_name,feature_value,error_mean,error_std
130,leg,0.0,-0.001645205351507143,0.001395377999427793
130,leg,0.166666666666667,-0.005770708581076997,0.02113759104731202
130,leg,0.333333333333333,-0.009058561715296204,0.025570285336230725
130,leg,0.5,0.004445561081875715,0.025542581911918594
130,leg,0.666666666666667,0.005459543430575531,0.02698166220118216
130,leg,0.833333333333333,0.0032451696354930354,0.026922874444077358
130,leg,1.0,-0.001414397655249648,0.001134644580108593
130,neck,0.0,0.004838991329131429,0.00968640511846184
130,neck,0.166666666666667,-0.009544861854211993,0.02156675913592684
130,neck,0.333333333333333,-0.002042339094951553,0.029252693492632677
130,neck,0.5,-0.018132233378079305,0.05754284917516505
130,neck,0.666666666666667,0.015111495364663398,0.061905765317061164
130,neck,0.833333333333333,0.007293934502153745,0.06934654226474453
130,neck,1.0,-0.018345369588613207,0.03856404128294481
130,tail,0.0,0.0071552108206525,0.011896459177859642
130,tail,0.166666666666667,-0.013291967787051995,0.024108325815199717
130,tail,0.333333333333333,-0.012000123618954766,0.029152480880861326
130,tail,0.5,-0.02059743223144786,0.05334930465857846
130,tail,0.666666666666667,-0.047615953655275885,0.05001621299614489
130,tail,0.833333333333333,-0.029188691602474812,0.07261304971573054
130,tail,1.0,-0.03231510641809785,0.04686238106350343
131,head,0.0,0.02444487984114357,0.019837733387361053
131,head,0.166666666666667,0.011019976794748724,0.033960597674311185
131,head,0.333333333333333,0.004201698464343452,0.03847468195906259
131,head,0.5,-0.022447554059556674,0.04438122939547649
131,head,0.666666666666667,-0.011348235968242321,0.08553895738758442
131,head,0.833333333333333,0.01862902392755839,0.10256185191472923
131,head,1.0,-0.025378159346811067,0.0508177184980801
131,leg,0.0,0.0029478842391064282,0.010128489059840286
131,leg,0.166666666666667,-0.0023547583657844936,0.029121883951751255
131,leg,0.333333333333333,0.00273967489943023,0.033191031741314325
131,leg,0.5,0.013676986791764637,0.044654316785562316
131,leg,0.666666666666667,-0.007828414651679194,0.04871666044486801
131,leg,0.833333333333333,0.019883746673799104,0.05213245721014004
131,leg,1.0,-0.015932977081040356,0.034173098917883185
131,neck,0.0,0.030942679726462856,0.03928006721811103
131,neck,0.166666666666667,0.022460564179912296,0.0504316381490134
131,neck,0.333333333333333,0.02125518982384059,0.08864153518721579
131,neck,0.5,0.02727370113156444,0.06659197108649394
131,neck,0.666666666666667,0.0411679127257716,0.10977180775647848
131,neck,0.833333333333333,0.018955326236019827,0.0952664118209705
131,neck,1.0,-0.03662173828164393,0.06445144942719438
