iSub,condition,feature1_name,feature2_name,feature3_name,feature4_name,iSession,iRun,iTrial,feature1,feature2,feature3,feature4,category,choice,rating,feedback,ambiguous,choRT,text,A,b,n_constraints,matched_rules,un_pro
333,3,green,yellow,pink,blue,1,3,96,0.299392823752563,0.0163484357899549,0.339367872080041,0.96778377101096,1,1,1,1.0,0,3.196,,,,,,
333,3,green,yellow,pink,blue,1,3,97,0.39661925122508,0.710117446423244,0.0341487072425715,0.286282965221524,2,3,2,0.0,0,10.14,,,,,,
333,3,green,yellow,pink,blue,1,3,98,0.0481873014709518,0.96741987665905,0.790179430645945,0.301214367375024,2,2,2,1.0,0,3.206,,,,,,
333,3,green,yellow,pink,blue,1,3,99,0.0202474369253686,0.484136627177461,0.346886759754267,0.277882750789198,1,2,2,0.5,1,1.818,,,,,,
333,3,green,yellow,pink,blue,1,4,100,0.842761933560642,0.539238072460923,0.0887159112737243,0.522326288265602,3,3,2,1.0,1,1.06,,,,,,
333,3,green,yellow,pink,blue,1,4,101,0.84987670664048,0.039103867047985,0.793073235251088,0.0326216097732698,4,4,2,1.0,0,0.586,,,,,,
333,3,green,yellow,pink,blue,1,4,102,0.22451774039969,0.23674723537888,0.0426539100194002,0.693827636987624,1,3,1,0.0,0,2.511,,,,,,
333,3,green,yellow,pink,blue,1,4,103,0.0006912512239644,0.770643059962927,0.757821413157917,0.767689984211554,2,2,3,1.0,0,0.042,,,,,,
333,3,green,yellow,pink,blue,1,4,104,0.904110478652394,0.763623243669191,0.68374779221879,0.0563179837846178,4,4,3,1.0,0,1.733,,,,,,
333,3,green,yellow,pink,blue,1,4,105,0.062247273690726,0.688784265709547,0.843163717660291,0.0534603932133541,2,2,2,1.0,0,0.707,,,,,,
333,3,green,yellow,pink,blue,1,4,106,0.795947944433113,0.501963365755429,0.393971562329176,0.558382754529527,3,1,1,0.0,1,2.181,,,,,,
333,3,green,yellow,pink,blue,1,4,107,0.958987707318927,0.674138123657053,0.643361046116861,0.671856368090389,4,3,1,0.5,0,0.627,,,,,,
333,3,green,yellow,pink,blue,1,4,108,0.015390951462697,0.110859226683083,0.0638249375414536,0.174218083582396,1,1,1,1.0,0,1.428,,,,,,
333,3,green,yellow,pink,blue,1,4,109,0.521554899641459,0.858007613022709,0.874841645454256,0.676709594235911,4,2,2,0.0,1,2.626,,,,,,
333,3,green,yellow,pink,blue,1,4,110,0.977114820099923,0.748403364873798,0.899366104710736,0.309944383390176,4,4,2,1.0,0,1.904,,,,,,
333,3,green,yellow,pink,blue,1,4,111,0.0478336053889375,0.0754059838251717,0.290935590141729,0.71236376172294,1,2,2,0.5,0,4.242,,,,,,
333,3,green,yellow,pink,blue,1,4,112,0.678077553853502,0.861694890020046,0.0562084053259748,0.258657465055,3,3,2,1.0,0,0.965,,,,,,
333,3,green,yellow,pink,blue,1,4,113,0.947626175530301,0.384827682518702,0.493854798269526,0.561051094060093,3,1,1,0.0,1,8.951,,,,,,
333,3,green,yellow,pink,blue,1,4,114,0.0999716004542859,0.218008537269885,0.113468487005104,0.340768576639366,1,3,2,0.0,0,0.856,,,,,,
333,3,green,yellow,pink,blue,1,4,115,0.475049829081837,0.674686110342458,0.322489875398822,0.655624631080674,2,3,1,0.0,1,3.927,,,,,,
333,3,green,yellow,pink,blue,1,4,116,0.545555122116302,0.99966956278375,0.564226165900427,0.450198926383195,4,4,2,1.0,1,4.063,,,,,,
333,3,green,yellow,pink,blue,1,4,117,0.20052635152566,0.122260143172182,0.665443828359254,0.626591762856134,1,1,2,1.0,0,0.505,,,,,,
333,3,green,yellow,pink,blue,1,4,118,0.534702363747072,0.330541424798944,0.595225194350357,0.349927952622915,4,2,2,0.0,1,2.898,,,,,,
333,3,green,yellow,pink,blue,1,4,119,0.0375489917649622,0.814047325024636,0.400026409622652,0.666530432728925,2,2,2,1.0,0,0.628,,,,,,
333,3,green,yellow,pink,blue,1,4,120,0.682099299165151,0.487602251083886,0.4650008345086,0.291283705880188,3,4,2,0.5,1,1.656,,,,,,
333,3,green,yellow,pink,blue,1,4,121,0.44175385558082,0.387259810549924,0.0148618795546149,0.615716120836888,1,3,2,0.0,0,2.17,,,,,,
333,3,green,yellow,pink,blue,1,4,122,0.157821147719836,0.171755803856694,0.722056307238265,0.875757305655547,1,2,2,0.5,0,4.808,,,,,,
333,3,green,yellow,pink,blue,1,4,123,0.0512069722368166,0.205818033319893,0.858351263404612,0.634016301952446,1,1,2,1.0,0,1.651,,,,,,
333,3,green,yellow,pink,blue,1,4,124,0.589650342234211,0.221706340786208,0.848740664406385,0.961539784839773,4,1,2,0.0,0,3.581,,,,,,
333,3,green,yellow,pink,blue,1,4,125,0.089555466605691,0.720818266518471,0.426533018874064,0.201285760180739,2,2,2,1.0,0,0.26,,,,,,
333,3,green,yellow,pink,blue,1,4,126,0.933380375418284,0.349900664494902,0.696995476133955,0.645875234324345,4,1,2,0.0,0,2.619,,,,,,
333,3,green,yellow,pink,blue,1,4,127,0.626472433490159,0.718616159738077,0.228207510813407,0.221898947653813,3,3,1,1.0,0,2.269,,,,,,
333,3,green,yellow,pink,blue,1,4,128,0.993227488154617,0.111763563743984,0.520542739111438,0.504126247146332,4,1,1,0.0,1,1.651,,,,,,
333,3,green,yellow,pink,blue,1,4,129,0.499170697750083,0.180536852737867,0.794893678081137,0.839645779669144,1,1,2,1.0,1,5.068,,,,,,
