f1_length,f2_length,f3_length,f4_length,timestamp
1,0.88871247016411,0,0.95425190701032,1769670269494
1,0.88871247016411,0,0.95425190701032,1769670269510
1,0.88871247016411,0,0.95425190701032,1769670269714
1,0.88871247016411,0.00661034092335,0.95425190701032,1769670292899
1,0.88871247016411,0.01970491094532,0.95425190701032,1769670292912
1,0.88871247016411,0.03279948096729,0.95425190701032,1769670292926
1,0.88871247016411,0.05249689155898,0.95425190701032,1769670292942
1,0.88871247016411,0.07219160368034,0.95425190701032,1769670292959
1,0.88871247016411,0.09838074372428,0.95425190701032,1769670292976
1,0.88871247016411,0.12456988376823,0.95425190701032,1769670292992
1,0.88871247016411,0.13116331450561,0.95425190701032,1769670293009
1,0.88871247016411,0.16394284317274,0.95425190701032,1769670293026
1,0.88871247016411,0.19013198321669,0.95425190701032,1769670293042
1,0.88871247016411,0.2229069423618,0.95425190701032,1769670293059
1,0.88871247016411,0.24258601469462,0.95425190701032,1769670293076
1,0.88871247016411,0.28845148160832,0.95425190701032,1769670293092
1,0.88871247016411,0.33431458041144,0.95425190701032,1769670293110
1,0.88871247016411,0.43277569041825,0.95425190701032,1769670293126
1,0.88871247016411,0.62446128729938,0.95425190701032,1769670293142
1,0.88871247016411,0.84968080662235,0.95425190701032,1769670293159
1,0.88871247016411,1,0.95425190701032,1769670293176
1,0.88871247016411,1,0.95425190701032,1769670293192
1,0.88871247016411,1,0.95425190701032,1769670293209
1,0.88871247016411,1,0.95425190701032,1769670293226
1,0.88871247016411,1,0.95425190701032,1769670293242
1,0.88871247016411,1,0.95425190701032,1769670293259
1,0.88871247016411,1,0.95425190701032,1769670293276
1,0.88871247016411,1,0.95425190701032,1769670295179
1,0.88871247016411,1,0.95425190701032,1769670295194
1,0.88871247016411,1,0.95425190701032,1769670295209
1,0.88871247016411,1,0.95425190701032,1769670295225
1,0.88871247016411,1,0.95425190701032,1769670295242
1,0.88871247016411,1,0.95425190701032,1769670295259
1,0.88871247016411,1,0.95425190701032,1769670295276
1,0.88871247016411,1,0.95425190701032,1769670295292
1,0.88871247016411,1,0.95425190701032,1769670295309
1,0.88871247016411,1,0.95425190701032,1769670295326
1,0.88871247016411,1,0.95425190701032,1769670295342
1,0.88871247016411,1,0.95425190701032,1769670295359
1,0.88871247016411,1,0.95425190701032,1769670295376
1,0.88871247016411,1,0.95425190701032,1769670295392
1,0.9083715866407,1,0.95425190701032,1769670297166
1,0.93456072668465,1,0.95425190701032,1769670297190
1,0.94112482951873,1,0.95425190701032,1769670297198
1,0.96091573804325,1,0.95425190701032,1769670297209
1,1,1,0.95425190701032,1769670297225
1,1,1,0.95425190701032,1769670297242
1,1,1,0.95425190701032,1769670297259
1,1,1,0.95425190701032,1769670297275
1,1,1,0.95425190701032,1769670297292
1,1,1,0.95425190701032,1769670297309
1,1,1,0.95425190701032,1769670297325
1,1,1,0.95425190701032,1769670297342
1,1,1,0.95425190701032,1769670297359
1,1,1,0.95425190701032,1769670297376
1,1,1,0.95425190701032,1769670297392
1,1,1,0.95425190701032,1769670297409
1,1,1,0.95425190701032,1769670297425
1,1,0.98690542997803,0.95425190701032,1769670314358
1,1,0.98037446031792,0.95425190701032,1769670314375
1,1,0.96727989029594,0.95425190701032,1769670314392
1,1,0.941090750252,0.95425190701032,1769670314408
1,1,0.88218281850661,0.95425190701032,1769670314424
1,1,0.84289910844069,0.95425190701032,1769670314441
1,1,0.7381425482649,0.95425190701032,1769670314458
1,1,0.60067251121373,0.95425190701032,1769670314474
1,1,0.39115939086216,0.95425190701032,1769670314491
1,1,0.18181272376048,0.95425190701032,1769670314508
1,1,0,0.95425190701032,1769670314525
1,1,0,0.95425190701032,1769670314541
1,1,0,0.95425190701032,1769670314558
1,1,0,0.95425190701032,1769670314575
1,1,0,0.95425190701032,1769670314591
1,1,0,0.95425190701032,1769670314608
1,1,0,0.95425190701032,1769670314625
1,1,0,0.95425190701032,1769670314641
1,1,0,0.95425190701032,1769670314658
1,1,0,0.95425190701032,1769670314675
1,0.99346886931929,0,0.95425190701032,1769670316981
1,0.98037429929731,0,0.95425190701032,1769670316991
1,0.96727972927534,0,0.95425190701032,1769670317008
1,0.90187628948203,0,0.95425190701032,1769670317024
1,0.83002198072688,0,0.95425190701032,1769670317041
1,0.7715814796347,0,0.95425190701032,1769670317058
1,0.63782551351622,0,0.95425190701032,1769670317074
